Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Demari Henderson,S,Seminole,Sanford,FL,6,0,161,0.8734,Florida,2022,622,55,84,3,UCF,//247sports.com/player/demari-henderson-46076733,"Seminole, Sanford, FL",-81.269453,28.8028612
Dominick Fields,S,Bartram Trail,Jacksonville,FL,6,0,185,NA,Florida,2022,NA,NA,NA,1,NA,//247sports.com/player/dominick-fields-46081868,"Bartram Trail, Jacksonville, FL",-81.663789,30.0585345
Isaiah Bond,ATH,Buford,Buford,GA,5,10.5,175,0.9774,Florida,2022,52,2,6,4,Alabama,//247sports.com/player/isaiah-bond-46097889,"Buford, Buford, GA",-84.0043513,34.1206564
Azareye'h Thomas,ATH,Niceville,Niceville,FL,6,2,181,0.9609,Florida,2022,90,4,14,4,Florida State,//247sports.com/player/azareyeh-thomas-46099405,"Niceville, Niceville, FL",-86.4957489,30.5286959
Amari Niblack,ATH,Lakewood,Saint Petersburg,FL,6,4,220,0.9416,Florida,2022,146,5,17,4,Alabama,//247sports.com/player/amari-niblack-46080272,"Lakewood, Saint Petersburg, FL",-82.6565824,27.7211639
Jaren Kanak,ATH,Hays,Hays,KS,6,2,210,0.9379,Florida,2022,156,6,1,4,Oklahoma,//247sports.com/player/jaren-kanak-46102946,"Hays, Hays, KS",-99.3267702,38.8791783
Chris Graves,ATH,Bishop Verot,Fort Myers,FL,6,1,175,0.9365,Florida,2022,161,7,20,4,Miami,//247sports.com/player/chris-graves-46111763,"Bishop Verot, Fort Myers, FL",-81.8848766,26.5886554
Dillon Tatum,ATH,West Bloomfield,West Bloomfield,MI,5,11,190,0.9046,Florida,2022,272,11,5,4,Michigan State,//247sports.com/player/dillon-tatum-46076705,"West Bloomfield, West Bloomfield, MI",-83.373339,42.5678534
Jaden Mangham,ATH,Wylie E. Groves,Franklin,MI,6,3,185,0.9,Florida,2022,297,13,6,4,Michigan State,//247sports.com/player/jaden-mangham-46057193,"Wylie E. Groves, Franklin, MI",-83.2440767,42.5173911
Kody Jones,ATH,Germantown,Germantown,TN,5,11,175,0.8958,Florida,2022,335,14,10,4,Michigan,//247sports.com/player/kody-jones-46094719,"Germantown, Germantown, TN",-89.8141114,35.087816
Kye Stokes,ATH,Armwood,Seffner,FL,6,2,185,0.8933,Florida,2022,361,16,44,4,Ohio State,//247sports.com/player/kye-stokes-46111680,"Armwood, Seffner, FL",-82.2959525,28.004948
Omari Kelly,ATH,Hewitt-Trussville,Trussville,AL,6,2,180,0.8925,Florida,2022,366,18,16,4,Auburn,//247sports.com/player/omari-kelly-46084955,"Hewitt-Trussville, Trussville, AL",-86.5903385,33.665161
Clint Stephens,ATH,Inglewood,Inglewood,CA,6,1,188,0.8915,Florida,2022,374,19,29,4,UCLA,//247sports.com/player/clint-stephens-46100888,"Inglewood, Inglewood, CA",-118.3531311,33.9616801
Rashod Dubinion,ATH,Cedar Grove,Ellenwood,GA,5,10,185,0.8885,Florida,2022,399,23,37,3,Arkansas,//247sports.com/player/rashod-dubinion-46084298,"Cedar Grove, Ellenwood, GA",-84.3021464,33.6627416
Mekhi Fox,ATH,Pasadena,Pasadena,CA,6,1,190,0.888,Florida,2022,414,25,31,3,Colorado State,//247sports.com/player/mekhi-fox-46080081,"Pasadena, Pasadena, CA",-118.1445155,34.1477849
